Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers
Amaryllis_belladonna	liliopsida_odb10	19.6	16.3	3.3	13.2	67.2	3236
Clivia_miniata	liliopsida_odb10	89.5	30.7	58.8	8.1	2.4	3236
Crinum_asiaticum	liliopsida_odb10	86.3	26.3	60.0	9.1	4.6	3236
Crinum_powellii	liliopsida_odb10	87.6	20.5	67.1	10.1	2.3	3236
Galanthus_elwesii	liliopsida_odb10	58.5	34.4	24.1	17.5	24.0	3236
Galanthus_sp	liliopsida_odb10	41.3	25.7	15.6	11.6	47.1	3236
Hippeastrum_sp	liliopsida_odb10	85.2	38.3	46.9	11.5	3.3	3236
Hippeastrum_striatum	liliopsida_odb10	78.4	34.9	43.5	11.6	10.0	3236
Hippeastrum_vittatum	liliopsida_odb10	82.9	35.6	47.3	12.8	4.3	3236
Leucojum_aestivum	liliopsida_odb10	81.0	37.7	43.3	10.9	8.1	3236
Lycoris_aurea_PB	liliopsida_odb10	66.2	23.0	43.2	6.3	27.5	3236
Lycoris_aurea_TH	liliopsida_odb10	81.0	32.0	49.0	12.5	6.5	3236
Lycoris_chinensis	liliopsida_odb10	78.8	40.1	38.7	15.6	5.6	3236
Lycoris_incarnata	liliopsida_odb10	67.0	36.1	30.9	15.7	17.3	3236
Lycoris_longituba	liliopsida_odb10	86.4	27.3	59.1	10.6	3.0	3236
Lycoris_sprengeri	liliopsida_odb10	86.7	29.4	57.3	10.0	3.3	3236
Narcissus_aff_pseudonarcissus	liliopsida_odb10	68.7	47.3	21.4	13.2	18.1	3236
Narcissus_papyraceus	liliopsida_odb10	76.6	47.2	29.4	12.4	11.0	3236
Narcissus_pseudonarcissus	liliopsida_odb10	86.9	31.1	55.8	9.4	3.7	3236
Narcissus_sp	liliopsida_odb10	86.6	13.0	73.6	6.0	7.4	3236
Narcissus_tazetta	liliopsida_odb10	90.0	25.1	64.9	7.8	2.2	3236
Narcissus_viridiflorus	liliopsida_odb10	66.6	56.7	9.9	16.3	17.1	3236
Phycella_aff_cyrtanthoides	liliopsida_odb10	61.6	54.1	7.5	15.8	22.6	3236
Rhodophiala_pratensis	liliopsida_odb10	47.0	41.8	5.2	18.1	34.9	3236
Scadoxus_multiflorus	liliopsida_odb10	80.0	32.5	47.5	10.5	9.5	3236
Traubia_modesta	liliopsida_odb10	14.3	12.7	1.6	11.4	74.3	3236
Zephyranthes_candida	liliopsida_odb10	85.8	34.3	51.5	10.6	3.6	3236
Zephyranthes_carinata	liliopsida_odb10	69.1	19.7	49.4	16.8	14.1	3236
Zephyranthes_treatiae	liliopsida_odb10	10.7	8.5	2.2	15.6	73.7	3236
