Species	Genes	Transcripts	Proteins
Amaryllis_belladonna	82269	82269	14052
Clivia_miniata	364783	520124	109415
Crinum_asiaticum	317414	448675	97434
Crinum_powellii	764820	1079430	151278
Galanthus_elwesii	33450	97789	55675
Galanthus_sp	25461	50069	24663
Hippeastrum_sp	600115	866547	151420
Hippeastrum_striatum	251498	345179	67796
Hippeastrum_vittatum	627873	924285	139233
Leucojum_aestivum	130746	237169	80262
Lycoris_aurea_PB	65077	65077	59402
Lycoris_aurea_TH	308772	454221	89370
Lycoris_chinensis	575147	813627	115852
Lycoris_incarnata	120318	172025	52103
Lycoris_longituba	584514	884267	177415
Lycoris_sprengeri	327719	489229	108985
Narcissus_aff_pseudonarcissus	106450	106450	38562
Narcissus_papyraceus	80750	120702	48682
Narcissus_pseudonarcissus	252162	403910	98409
Narcissus_sp	90359	90359	75103
Narcissus_tazetta	955337	1329051	217210
Narcissus_viridiflorus	191919	191919	30762
Phycella_aff_cyrtanthoides	118739	118739	25991
Rhodophiala_pratensis	112099	112099	26276
Scadoxus_multiflorus	181746	232424	76728
Traubia_modesta	79892	79892	15746
Zephyranthes_candida	422348	610031	138497
Zephyranthes_carinata	268204	343991	112445
Zephyranthes_treatiae	150122	150122	24492
