Filename_	QC_passed_reads	QC_failed	primary	secondary	duplicates	mapped	not_mapped	primary_mapping	properly_paired	mate_mapped	singleton	Species	Run	PCT_mapped_reads
Amaryllis_belladonna_ERR2040723	24565338	0	14672834	9892504	0	24565338	0	14672834	14672834	14672834	0	Amaryllis_belladonna	ERR2040723	100
Clivia_miniata_SRR18286845	99596274	0	41151696	58444578	0	99596274	0	41151696	41151696	41151696	0	Clivia_miniata	SRR18286845	100
Clivia_miniata_SRR29002427	308774842	0	101859528	206915314	0	308774842	0	101859528	101859528	101859528	0	Clivia_miniata	SRR29002427	100
Clivia_miniata_SRR7503212	277473244	0	59955570	217517674	0	277473244	0	59955570	59955570	59955570	0	Clivia_miniata	SRR7503212	100
Clivia_miniata_SRR7503213	454065000	0	49842190	404222810	0	454065000	0	49842190	49842190	49842190	0	Clivia_miniata	SRR7503213	100
Clivia_miniata_SRR7503214	269848974	0	65507196	204341778	0	269848974	0	65507196	65507196	65507196	0	Clivia_miniata	SRR7503214	100
Clivia_miniata_SRR7503215	285398980	0	83593534	201805446	0	285398980	0	83593534	83593534	83593534	0	Clivia_miniata	SRR7503215	100
Crinum_asiaticum_SRR29002425	127142564	0	46998392	80144172	0	127142564	0	46998392	46998392	46998392	0	Crinum_asiaticum	SRR29002425	100
Crinum_asiaticum_SRR29002426	229663644	0	89011498	140652146	0	229663644	0	89011498	89011498	89011498	0	Crinum_asiaticum	SRR29002426	100
Crinum_powellii_SRR24324993	269917850	0	91192812	178725038	0	269917850	0	91192812	91192812	91192812	0	Crinum_powellii	SRR24324993	100
Crinum_powellii_SRR24324994	269800894	0	91832402	177968492	0	269800894	0	91832402	91832402	91832402	0	Crinum_powellii	SRR24324994	100
Crinum_powellii_SRR24324995	539119986	0	164425932	374694054	0	539119986	0	164425932	164425932	164425932	0	Crinum_powellii	SRR24324995	100
Crinum_powellii_SRR24324996	299068590	0	93553538	205515052	0	299068590	0	93553538	93553538	93553538	0	Crinum_powellii	SRR24324996	100
Crinum_powellii_SRR24324997	235691826	0	77139186	158552640	0	235691826	0	77139186	77139186	77139186	0	Crinum_powellii	SRR24324997	100
Crinum_powellii_SRR24324998	311751108	0	102547070	209204038	0	311751108	0	102547070	102547070	102547070	0	Crinum_powellii	SRR24324998	100
Crinum_powellii_SRR24324999	222769710	0	72766220	150003490	0	222769710	0	72766220	72766220	72766220	0	Crinum_powellii	SRR24324999	100
Crinum_powellii_SRR24325000	390786130	0	123810512	266975618	0	390786130	0	123810512	123810512	123810512	0	Crinum_powellii	SRR24325000	100
Crinum_powellii_SRR24325001	294427962	0	98372428	196055534	0	294427962	0	98372428	98372428	98372428	0	Crinum_powellii	SRR24325001	100
Crinum_powellii_SRR24325002	468982584	0	146340980	322641604	0	468982584	0	146340980	146340980	146340980	0	Crinum_powellii	SRR24325002	100
Crinum_powellii_SRR24325003	400196338	0	128964632	271231706	0	400196338	0	128964632	128964632	128964632	0	Crinum_powellii	SRR24325003	100
Crinum_powellii_SRR24325004	449043026	0	147181436	301861590	0	449043026	0	147181436	147181436	147181436	0	Crinum_powellii	SRR24325004	100
Crinum_powellii_SRR24325005	204359674	0	66287806	138071868	0	204359674	0	66287806	66287806	66287806	0	Crinum_powellii	SRR24325005	100
Crinum_powellii_SRR24325006	457374340	0	148449336	308925004	0	457374340	0	148449336	148449336	148449336	0	Crinum_powellii	SRR24325006	100
Crinum_powellii_SRR24325007	368442908	0	118929924	249512984	0	368442908	0	118929924	118929924	118929924	0	Crinum_powellii	SRR24325007	100
Crinum_powellii_SRR24325008	372907476	0	123258372	249649104	0	372907476	0	123258372	123258372	123258372	0	Crinum_powellii	SRR24325008	100
