n_targets	n_processed	n_pseudoaligned	n_unique	p_pseudoaligned	p_unique	kallisto_version	Species	Run
82269	12657726	9888206	9134147	78.1	72.2	0.46.1	Amaryllis_belladonna	ERR2040723
520124	23957515	17480127	10643216	73	44.4	0.46.1	Clivia_miniata	SRR18286845
520124	33142136	26544687	16264284	80.1	49.1	0.46.1	Clivia_miniata	SRR7503212
520124	27188331	22211767	15632741	81.7	57.5	0.46.1	Clivia_miniata	SRR7503213
520124	36282280	28870016	16960539	79.6	46.7	0.46.1	Clivia_miniata	SRR7503214
520124	46459969	37389267	21826104	80.5	47	0.46.1	Clivia_miniata	SRR7503215
448675	28545767	20803575	9709463	72.9	34	0.46.1	Crinum_asiaticum	SRR29002425
448675	50822779	40215808	21208986	79.1	41.7	0.46.1	Crinum_asiaticum	SRR29002426
97789	18791880	15378795	7205643	81.8	38.3	0.46.1	Galanthus_elwesii	SRR3038322
97789	52451011	43473266	20497944	82.9	39.1	0.46.1	Galanthus_elwesii	SRR3038644
97789	12785787	10145743	4732019	79.4	37	0.46.1	Galanthus_elwesii	SRR3040052
50069	47424724	17901254	10057847	37.7	21.2	0.46.1	Galanthus_sp	SRR3048038
50069	53454629	24401030	12629079	45.6	23.6	0.46.1	Galanthus_sp	SRR3048277
50069	44642194	15956342	9243547	35.7	20.7	0.46.1	Galanthus_sp	SRR3048278
345179	29632579	20577387	13133570	69.4	44.3	0.46.1	Hippeastrum_striatum	SRR29002422
237169	59857798	51801710	24156962	86.5	40.4	0.46.1	Leucojum_aestivum	SRR14196981
65077	24397146	18358928	6398522	75.3	26.2	0.46.1	Lycoris_aurea_PB	SRR27586333
65077	24232065	18699151	6286870	77.2	25.9	0.46.1	Lycoris_aurea_PB	SRR27586334
65077	23834335	18357975	6341200	77	26.6	0.46.1	Lycoris_aurea_PB	SRR27586335
65077	23752753	17495002	6044075	73.7	25.4	0.46.1	Lycoris_aurea_PB	SRR27586336
65077	24260380	18089558	6265275	74.6	25.8	0.46.1	Lycoris_aurea_PB	SRR27586337
65077	24412059	18827015	6358951	77.1	26	0.46.1	Lycoris_aurea_PB	SRR27586338
65077	24021505	17927123	6234329	74.6	26	0.46.1	Lycoris_aurea_PB	SRR27586339
65077	24017268	17247458	5485592	71.8	22.8	0.46.1	Lycoris_aurea_PB	SRR27586340
65077	24074055	18631948	6437407	77.4	26.7	0.46.1	Lycoris_aurea_PB	SRR27586341
65077	23587698	18477499	5917694	78.3	25.1	0.46.1	Lycoris_aurea_PB	SRR27586342
65077	24252399	18600692	6294600	76.7	26	0.46.1	Lycoris_aurea_PB	SRR27586343
65077	23876260	18953938	6128257	79.4	25.7	0.46.1	Lycoris_aurea_PB	SRR27586344
65077	24383768	18958693	6271647	77.8	25.7	0.46.1	Lycoris_aurea_PB	SRR27586345
65077	23845933	18644863	6227188	78.2	26.1	0.46.1	Lycoris_aurea_PB	SRR27586346
65077	24044546	17804383	6227530	74	25.9	0.46.1	Lycoris_aurea_PB	SRR27586347
65077	24070611	18971293	6534370	78.8	27.1	0.46.1	Lycoris_aurea_PB	SRR27586348
65077	24350157	19081476	6520359	78.4	26.8	0.46.1	Lycoris_aurea_PB	SRR27586349
65077	24069790	19046861	6509049	79.1	27	0.46.1	Lycoris_aurea_PB	SRR27586350
65077	24145890	19090730	6700254	79.1	27.7	0.46.1	Lycoris_aurea_PB	SRR27586351
65077	23823783	17287357	5905416	72.6	24.8	0.46.1	Lycoris_aurea_PB	SRR27586352
65077	23910840	18035230	6191473	75.4	25.9	0.46.1	Lycoris_aurea_PB	SRR27586353
65077	24073192	17949224	6191490	74.6	25.7	0.46.1	Lycoris_aurea_PB	SRR27586354
65077	24186295	18164288	6142275	75.1	25.4	0.46.1	Lycoris_aurea_PB	SRR27586355
65077	24401137	18545920	6369311	76	26.1	0.46.1	Lycoris_aurea_PB	SRR27586356
454221	24397146	17034036	9182871	69.8	37.6	0.46.1	Lycoris_aurea_TH	SRR27586333
