Species	Database	Genes	Transcripts	Proteins
Amaryllis_belladonna	EggNOG	13017	13017	13017
Amaryllis_belladonna	Pfam	12011	12011	72967
Amaryllis_belladonna	Uniprot	10990	10990	72967
Amaryllis_belladonna	Infernal	177	177	NA
Amaryllis_belladonna	Any_protein_DB	13469	13469	15063
Clivia_miniata	EggNOG	44771	90106	90106
Clivia_miniata	Pfam	45971	89580	710553
Clivia_miniata	Uniprot	35937	73445	710553
Clivia_miniata	Infernal	2023	3177	NA
Clivia_miniata	Any_protein_DB	50528	98847	114844
Crinum_asiaticum	EggNOG	33107	74765	74765
Crinum_asiaticum	Pfam	36173	77451	613589
Crinum_asiaticum	Uniprot	202	511	613589
Crinum_asiaticum	Infernal	745	1177	NA
Crinum_asiaticum	Any_protein_DB	39422	84547	100247
Crinum_powellii	EggNOG	49798	107743	107743
Crinum_powellii	Pfam	56871	114723	812690
Crinum_powellii	Uniprot	35893	82714	812690
Crinum_powellii	Infernal	689	990	NA
Crinum_powellii	Any_protein_DB	62777	126492	149159
Galanthus_elwesii	EggNOG	16287	52309	52309
Galanthus_elwesii	Pfam	15540	47894	396221
Galanthus_elwesii	Uniprot	13774	44049	396221
Galanthus_elwesii	Infernal	73	135	NA
Galanthus_elwesii	Any_protein_DB	16785	53769	59682
Galanthus_sp	EggNOG	11305	22794	22794
Galanthus_sp	Pfam	10610	21043	144178
Galanthus_sp	Uniprot	9251	18780	144178
Galanthus_sp	Infernal	69	101	NA
Galanthus_sp	Any_protein_DB	11728	23615	25345
Hippeastrum_sp	EggNOG	69004	109061	109061
Hippeastrum_sp	Pfam	73538	114182	774446
Hippeastrum_sp	Uniprot	54812	86360	774446
Hippeastrum_sp	Infernal	1541	2660	NA
Hippeastrum_sp	Any_protein_DB	81628	126870	143085
Hippeastrum_striatum	EggNOG	26870	56358	56358
Hippeastrum_striatum	Pfam	27616	55711	453110
Hippeastrum_striatum	Uniprot	21773	46363	453110
Hippeastrum_striatum	Infernal	390	672	NA
Hippeastrum_striatum	Any_protein_DB	30154	61232	71038
Hippeastrum_vittatum	EggNOG	51815	95577	95577
Hippeastrum_vittatum	Pfam	58549	102591	709882
Hippeastrum_vittatum	Uniprot	39398	73337	709882
Hippeastrum_vittatum	Infernal	1854	2901	NA
Hippeastrum_vittatum	Any_protein_DB	64841	114130	127946
Leucojum_aestivum	EggNOG	25627	68767	68767
Leucojum_aestivum	Pfam	25634	67203	550489
Leucojum_aestivum	Uniprot	21105	57745	550489
Leucojum_aestivum	Infernal	517	1042	NA
Leucojum_aestivum	Any_protein_DB	27864	73562	87239
Lycoris_aurea_PB	EggNOG	1	57823	57823
Lycoris_aurea_PB	Pfam	1	57100	650851
Lycoris_aurea_PB	Uniprot	1	53963	650851
Lycoris_aurea_PB	Infernal	1	713	NA
Lycoris_aurea_PB	Any_protein_DB	1	58684	76073
Lycoris_aurea_TH	EggNOG	34709	73835	73835
Lycoris_aurea_TH	Pfam	35669	73312	570144
Lycoris_aurea_TH	Uniprot	27979	60727	570144
Lycoris_aurea_TH	Infernal	733	1163	NA
Lycoris_aurea_TH	Any_protein_DB	39332	80975	94144
Lycoris_chinensis	EggNOG	52116	84979	84979
Lycoris_chinensis	Pfam	54654	86898	626327
Lycoris_chinensis	Uniprot	41465	67640	626327
Lycoris_chinensis	Infernal	1255	1958	NA
Lycoris_chinensis	Any_protein_DB	61518	97981	112438
Lycoris_incarnata	EggNOG	24243	46905	46905
Lycoris_incarnata	Pfam	23264	44564	354789
Lycoris_incarnata	Uniprot	20315	39546	354789
Lycoris_incarnata	Infernal	393	617	NA
