Species	Genes	Transcripts	Genes_wORFs	Proteins
Amaryllis_belladonna	82269	82269	14052	14052
Clivia_miniata	364783	520124	57239	109415
Crinum_asiaticum	317414	448675	47491	97434
Crinum_powellii	764820	1079430	79101	151278
Galanthus_elwesii	33450	97789	17361	55675
Galanthus_sp	25461	50069	12247	24663
Hippeastrum_sp	600115	866547	98556	151420
Hippeastrum_striatum	251498	345179	34480	67796
Hippeastrum_vittatum	627873	924285	81980	139233
Leucojum_aestivum	130746	237169	30833	80262
Lycoris_aurea_PB	65077	65077	59402	59402
Lycoris_aurea_TH	308772	454221	44626	89370
Lycoris_chinensis	575147	813627	73859	115852
Lycoris_incarnata	120318	172025	27493	52103
Lycoris_longituba	584514	884267	103243	177415
Lycoris_radiata	329762	475163	51559	96277
Lycoris_sprengeri	327719	489229	56704	108985
Narcissus_aff_pseudonarcissus	106450	106450	38562	38562
Narcissus_papyraceus	80750	120702	25216	48682
Narcissus_pseudonarcissus	403910	403910	48869	98409
Narcissus_sp	90359	90359	75103	75103
Narcissus_tazetta	955337	1329051	154430	217210
Narcissus_viridiflorus	191919	191919	30762	30762
Phycella_aff_cyrtanthoides	118739	118739	25991	25991
Rhodophiala_pratensis	112099	112099	26276	26276
Scadoxus_multiflorus	181746	232424	45487	76728
Traubia_modesta	79892	79892	15746	15746
Zephyranthes_candida	422348	610031	80939	138497
Zephyranthes_carinata	268204	343991	66320	112445
Zephyranthes_treatiae	150122	150122	24492	24492
